Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent:
For compliances purposes, we would like to confirm your willingness to participate in this survey. Please read the attached file (Informed consent) for information.

 

Please select if you are willing to participate in this survey below",Are you above 18 years old?,Are you affiliated with IUPUI?,Indicate the best descriptions that you fall into (check all that apply),We want to know how you identify yourself with Jagathon: - I identify as a Jagathon community member,We want to know how you identify yourself with Jagathon: - My personal identity directly overlaps with the Jagathon community,We want to know how you identify yourself with Jagathon: - I am attached to the Jagathon community,We want to know how you identify yourself with Jagathon: - I feel like I belong to the Jagathon community,We want to know how you identify yourself with Jagathon: - I am a valuable member of the Jagathon community,We want to know how you identify yourself with Jagathon: - I am an important member of the Jagathon community,We want to know how you identify yourself with IUPUI: - I identify as an IUPUI community member,We want to know how you identify yourself with IUPUI: - My personal identity directly overlaps with the IUPUI community,We want to know how you identify yourself with IUPUI: - I am attached to the IUPUI community,We want to know how you identify yourself with IUPUI: - I feel like I belong to the IUPUI community,We want to know how you identify yourself with IUPUI: - I am a valuable member of the IUPUI community,We want to know how you identify yourself with IUPUI: - I am an important member of the IUPUI community,How do you feel about Jagathon,Q2.7,Q2.8,How likely would you participate in future Jagathon events?,How likely would you be to donate in future Jagathon events?,What is your age?,How do you identify yourself?,Choose one or more races that you identify with,What is your current status at IUPUI? - Selected Choice,What is your current status at IUPUI? - Other - Text,What is your employment status?,What is your Zip code?
4/4/22 18:13,4/4/22 18:16,IP Address,107.119.41.134,100,153,TRUE,4/4/22 18:16,R_3stz7MHLGJuKlZY,,,,,38.5848,-90.2996,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,"I went to Jagathon event,I have heard of Jagathon",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4,3.5,4,Extremely unlikely,Extremely unlikely,23,Female,Hispanic/Latino,Senior,,Full-Time Student,46214
4/6/22 8:00,4/6/22 8:04,IP Address,149.162.208.55,100,234,TRUE,4/6/22 8:04,R_10MhubP7EUrS6ai,,,,,39.9573,-86.277,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have heard of Jagathon,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,7,6,5,Extremely unlikely,Neither likely nor unlikely,23,Male,White,Graduate,,Full-Time Student,46222
4/6/22 8:08,4/6/22 8:10,IP Address,107.77.208.172,100,137,TRUE,4/6/22 8:10,R_2VqlUGRudhKH2UF,,,,,41.8764,-87.6133,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,"I have heard of Jagathon,I have never gone to Jagathon",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,5,5,4.5,Slightly likely,Slightly likely,23,Male,White,Graduate,,Full-Time Student,46060
4/6/22 8:06,4/6/22 8:11,IP Address,149.162.176.76,100,342,TRUE,4/6/22 8:11,R_PCfHc2l1q69w06J,,,,,39.8487,-86.3782,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I went to Jagathon event,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,7,7,7,Slightly likely,Slightly likely,23,Female,Asian,Graduate,,Full-Time Student,46217
4/6/22 8:10,4/6/22 8:13,IP Address,107.119.41.54,100,145,TRUE,4/6/22 8:13,R_28Gk0umsQ65jdgP,,,,,38.5848,-90.2996,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,"I went to Jagathon event,I went to a Jagathon event multiple times,I have heard of Jagathon,I was a committee member/chair for Jagathon",Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Agree,1,1,1,Extremely unlikely,Slightly unlikely,22,Male,Other,Other,,Full-Time Employed,46302
4/6/22 8:12,4/6/22 8:14,IP Address,149.162.192.25,100,116,TRUE,4/6/22 8:14,R_xttQxP59TDgbzR7,,,,,39.7764,-86.1077,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have heard of Jagathon,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Agree,6,5,5.1,Slightly unlikely,Moderately unlikely,23,Male,White,Graduate,,Full-Time Student,46250
4/6/22 8:12,4/6/22 8:15,IP Address,149.162.247.215,100,184,TRUE,4/6/22 8:15,R_39pUYGxuMIrmRgZ,,,,,39.9564,-85.9651,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4.6,5.6,4.2,Slightly unlikely,Neither likely nor unlikely,22,Female,"White,Black or African American",Graduate,,Full-Time Student,46220
4/3/22 21:16,4/6/22 8:22,IP Address,50.90.68.204,100,212750,TRUE,4/6/22 8:22,R_xzP1rZEw4TTBdIJ,,,,,39.7932,-86.2132,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,6.2,4.5,5.8,Slightly likely,Slightly likely,26,Female,Asian,Graduate,,Full-Time Student,46202
4/6/22 8:19,4/6/22 8:22,IP Address,47.248.185.202,100,208,TRUE,4/6/22 8:22,R_33dTxhWm3Rb4u5r,,,,,39.7932,-86.2132,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,"I have heard of Jagathon,I have never gone to Jagathon",Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,6.1,6.2,6.4,Slightly likely,Moderately likely,23,Female,Asian,Graduate,,Full-Time Student,94521
4/6/22 8:29,4/6/22 8:31,IP Address,107.77.206.22,100,117,TRUE,4/6/22 8:31,R_2qxwsRtrmcz3DCh,,,,,41.8764,-87.6133,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I went to a Jagathon event multiple times,Agree,Somewhat agree,Agree,Somewhat disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,4.1,2.9,3.5,Moderately unlikely,Moderately unlikely,22,Female,White,Graduate,,Full-Time Employed,46226
4/6/22 8:28,4/6/22 8:31,IP Address,174.202.98.69,100,212,TRUE,4/6/22 8:31,R_yt30EcPTCVuapaN,,,,,39.2051,-85.9324,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I went to Jagathon event,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,5,6.1,5.3,Slightly unlikely,Slightly unlikely,22,Female,White,Graduate,,Full-Time Student,47274
4/6/22 8:29,4/6/22 8:33,IP Address,149.162.219.53,100,241,TRUE,4/6/22 8:33,R_xtSgqcBKof51USl,,,,,39.808,-86.3169,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,"I went to a Jagathon event multiple times,I was a committee member/chair for Jagathon,I am a Jagathon Alumni",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,7,7,7,Moderately likely,Slightly likely,23,Female,White,Graduate,,Full-Time Student,47274
4/6/22 8:34,4/6/22 8:35,IP Address,140.182.93.176,100,99,TRUE,4/6/22 8:35,R_1mOtRn9ZxvcQS0t,,,,,39.8238,-86.1407,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,"I have heard of Jagathon,I have never gone to Jagathon",Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Agree,4,4,4,Neither likely nor unlikely,Neither likely nor unlikely,26,Female,White,Graduate,,Full-Time Employed,46237
4/6/22 8:38,4/6/22 8:49,IP Address,47.227.18.8,100,658,TRUE,4/6/22 8:49,R_6gRhPQTSAfo4DT3,,,,,39.772,-86.157,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I went to Jagathon event,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4,4,5.7,Moderately unlikely,Neither likely nor unlikely,24,Male,White,Staff,,Full-Time Employed,46204
4/6/22 8:58,4/6/22 9:00,IP Address,149.159.235.139,100,135,TRUE,4/6/22 9:00,R_3qINUhtn20chhkB,,,,,39.9744,-86.0829,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,"I went to Jagathon event,I have heard of Jagathon",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,2.7,4.3,2.7,Extremely unlikely,Moderately unlikely,23,Female,White,Graduate,,Full-Time Student,46208
